date,asset_id,product_id,subtype,market,low,mid,high,direct_low
2026-03-01,base1-15,42355,Holofoil,133.07,89.31,140.0,999.98,
2026-03-01,base1-16,42356,Holofoil,53.23,28.0,51.0,120.0,119.99
2026-03-01,base1-2,42360,Holofoil,155.06,121.33,200.0,499.99,
2026-03-01,base1-4,42382,Holofoil,515.6,499.0,749.98,1500.0,
2026-03-01,base1-58,42402,Normal,4.74,0.5,2.99,9999.0,
2026-03-01,cel25c-4,250320,Holofoil,181.01,160.0,189.99,499.99,166.66
2026-03-01,gym2-2,83861,1st Edition Holofoil,852.01,599.99,640.0,1099.99,
2026-03-01,gym2-2,83861,Unlimited Holofoil,500.59,446.99,567.66,629.48,567.66
2026-03-01,neo1-9,86903,1st Edition Holofoil,1800.0,1299.97,1798.78,1899.99,1899.98
2026-03-01,neo1-9,86903,Unlimited Holofoil,444.81,369.99,399.0,1000.0,
2026-03-01,sl-151-bundle,502000,Normal,149.66,140.0,177.0,1000.0,
2026-03-01,sl-151-etb,503313,Normal,488.26,499.99,599.99,1507.01,
2026-03-01,sl-151-upc,502005,Normal,734.79,749.99,948.6,40000.0,
2026-03-01,sl-ar-box,265519,Normal,390.83,388.0,452.5,899.99,
2026-03-01,sl-bs-box,256141,Normal,577.71,575.91,683.0,1499.99,
2026-03-01,sl-cel-upc,245140,Normal,948.87,972.0,1199.0,154722.59,
2026-03-01,sl-champ-etb,218791,Normal,168.37,169.0,189.5,500.0,
2026-03-01,sl-cz-etb,453470,Normal,275.03,284.99,339.95,785.0,
2026-03-01,sl-dr-box,624679,Normal,519.73,490.0,599.99,2185.0,
2026-03-01,sl-evs-box,242436,Normal,2441.36,2699.0,3385.0,12000.0,
2026-03-01,sl-evs-etb,243721,Normal,763.3,970.0,999.98,2999.99,
2026-03-01,sl-fs-box,247654,Normal,1005.04,999.99,1200.0,3000.0,
2026-03-01,sl-hf-etb,194729,Normal,448.62,498.0,579.98,9999.98,
2026-03-01,sl-jp-151,565243,Normal,238.22,249.99,274.99,489.59,
2026-03-01,sl-jp-terastal,603428,Normal,122.81,113.99,130.0,200.0,
2026-03-01,sl-jt-box,610931,Normal,252.06,274.99,304.94,551.0,
2026-03-01,sl-lo-box,277324,Normal,733.59,730.0,900.0,2500.0,
2026-03-01,sl-me1-box,644298,Normal,277.46,274.0,299.97,500.0,
2026-03-01,sl-obf-box,501257,Normal,344.54,344.58,399.95,799.99,
2026-03-01,sl-pe-etb,593355,Normal,185.26,175.0,200.0,1115.0,
2026-03-01,sl-pe-spc,622770,Normal,311.9,301.98,380.0,999.0,
2026-03-01,sl-pf-etb,528040,Normal,308.6,318.0,349.99,775.0,
2026-03-01,sl-phf-box,654137,Normal,325.72,315.0,349.99,699.0,
2026-03-01,sl-shf-etb,228821,Normal,115.27,104.99,135.62,500.11,
2026-03-01,sl-ss-box,565606,Normal,262.65,250.0,300.0,4999.99,
2026-03-01,sl-st-box,283389,Normal,472.17,458.0,500.0,9999.99,
2026-03-01,sl-tf-box,536225,Normal,252.99,269.95,308.12,1500.0,
2026-03-01,sv2-185,497557,Normal,0.27,0.05,0.35,30.27,
2026-03-01,sv2-185,497557,Reverse Holofoil,1.0,0.19,0.85,10.0,4.39
2026-03-01,sv2-254,497669,Holofoil,11.93,10.0,13.93,52.5,12.48
2026-03-01,sv2-269,497689,Holofoil,49.94,48.29,55.0,259.99,50.99
2026-03-01,sv3pt5-151,516566,Holofoil,9.44,3.99,8.28,100.0,8.0
2026-03-01,sv3pt5-199,517045,Holofoil,352.44,340.0,422.93,1000.0,394.69
2026-03-01,sv3pt5-205,517051,Holofoil,21.18,15.47,23.99,88.88,19.25
2026-03-01,sv3pt5-4,502555,Normal,0.24,0.01,0.2,30.25,
2026-03-01,sv3pt5-4,502555,Reverse Holofoil,0.34,0.07,0.31,3.99,0.39
2026-03-01,sv3pt5-6,502558,Holofoil,11.51,2.98,8.99,98.96,19.97
2026-03-01,sv3pt5-7,502548,Normal,0.16,0.01,0.19,2.03,
2026-03-01,sv3pt5-7,502548,Reverse Holofoil,0.33,0.01,0.29,50.0,0.25
2026-03-01,sv4pt5-234,535090,Holofoil,221.15,197.5,265.0,799.97,204.16
2026-03-01,sv4pt5-54,534416,Holofoil,4.92,2.78,4.86,60.0,19.99
2026-03-01,sv8-57,590025,Holofoil,4.2,2.5,4.43,25.0,5.95
2026-03-01,sv8pt5-149,610504,Holofoil,171.21,159.99,192.8,999.0,
2026-03-01,sv8pt5-155,610510,Holofoil,208.49,194.99,250.0,999.0,
2026-03-01,sv8pt5-156,610511,Holofoil,306.96,290.0,330.41,999.0,294.42
2026-03-01,sv8pt5-161,610516,Holofoil,1102.7,919.99,1152.49,5000.0,
2026-03-01,sv8pt5-167,610522,Holofoil,118.66,98.99,122.0,999.0,
2026-03-01,sv8pt5-179,610534,Holofoil,48.53,46.24,59.99,999.0,
2026-03-01,sv8pt5-28,610383,Holofoil,1.56,0.9,1.54,999.0,
2026-03-01,sv8pt5-47,610402,Normal,0.06,0.01,0.1,999.0,0.03
2026-03-01,sv8pt5-47,610402,Reverse Holofoil,0.11,0.01,0.15,999.0,0.04
2026-03-01,sv8pt5-59,610414,Holofoil,0.31,0.01,0.3,999.0,
2026-03-01,sv8pt5-59,610414,Reverse Holofoil,0.36,0.08,0.38,999.0,
2026-03-01,sv8pt5-60,610415,Holofoil,4.83,3.0,5.0,999.0,
2026-03-01,svp-085,518861,Normal,594.12,629.0,799.95,2500.0,
2026-03-01,swsh11-186,284137,Holofoil,695.15,481.42,681.32,1500.0,783.89
2026-03-01,swsh12-186,451834,Holofoil,346.82,330.0,403.94,2000.0,334.54
2026-03-01,swsh12pt5gg-GG69,478100,Holofoil,216.51,209.25,234.9,1000.0,250.0
2026-03-01,swsh35-25,223018,Normal,0.16,0.04,0.17,1.82,
2026-03-01,swsh35-25,223018,Reverse Holofoil,0.27,0.1,0.28,2.0,
2026-03-01,swsh35-74,223073,Holofoil,180.8,125.0,220.0,2300.0,219.69
2026-03-01,swsh45sv-SV107,232496,Holofoil,135.11,104.0,159.99,500.0,159.99
2026-03-01,swsh7-204,246693,Holofoil,30.48,22.0,32.39,150.0,38.99
2026-03-01,swsh7-205,246696,Holofoil,323.85,289.0,351.67,600.0,299.11
2026-03-01,swsh7-208,246755,Holofoil,29.6,24.0,32.03,48.95,36.25
2026-03-01,swsh7-209,246756,Holofoil,256.3,226.26,279.52,450.0,265.9
2026-03-01,swsh7-211,246702,Holofoil,50.89,39.92,50.99,74.95,
2026-03-01,swsh7-212,246704,Holofoil,334.33,290.0,350.0,1000.0,317.37
2026-03-01,swsh7-215,246723,Holofoil,1679.22,1649.99,1999.87,4000.0,1994.68
2026-03-01,swsh7-218,246733,Holofoil,670.72,579.99,785.73,950.0,749.99
2026-03-01,swsh7-41,246753,Holofoil,5.71,4.38,6.28,24.97,5.45
2026-03-01,swsh7-65,246690,Holofoil,11.56,9.0,13.95,500.0,16.1
2026-03-01,swsh7-75,246701,Holofoil,16.29,10.49,15.62,50.0,20.3
2026-03-01,swsh7-8,246691,Holofoil,6.75,5.0,7.93,100.0,16.65
2026-03-01,swsh8-271,253266,Holofoil,735.27,618.29,947.84,1499.95,618.29
2026-03-01,swsh9-154,263873,Holofoil,235.42,224.98,289.99,1500.0,265.5
2026-03-02,base1-15,42355,Holofoil,134.71,89.31,139.38,999.98,
2026-03-02,base1-16,42356,Holofoil,53.23,28.0,51.0,120.0,119.99
2026-03-02,base1-2,42360,Holofoil,155.06,122.96,200.0,499.99,
2026-03-02,base1-4,42382,Holofoil,522.7,507.42,800.0,1500.0,
2026-03-02,base1-58,42402,Normal,4.99,0.5,2.99,9999.0,
2026-03-02,cel25c-4,250320,Holofoil,180.27,148.97,189.29,499.99,166.66
2026-03-02,gym2-2,83861,1st Edition Holofoil,852.01,599.99,640.0,1099.99,
2026-03-02,gym2-2,83861,Unlimited Holofoil,500.59,446.99,543.83,629.48,567.66
2026-03-02,neo1-9,86903,1st Edition Holofoil,1094.48,1299.97,1798.78,1899.99,1899.98
2026-03-02,neo1-9,86903,Unlimited Holofoil,444.81,369.99,399.0,1000.0,
2026-03-02,sl-151-bundle,502000,Normal,150.52,145.0,175.0,1000.0,
2026-03-02,sl-151-etb,503313,Normal,496.46,550.0,600.0,1507.01,
2026-03-02,sl-151-upc,502005,Normal,754.72,788.88,985.0,40000.0,
2026-03-02,sl-ar-box,265519,Normal,390.83,388.0,450.0,899.99,
2026-03-02,sl-bs-box,256141,Normal,578.71,579.99,683.0,5000.0,
