date,asset_id,product_id,subtype,market,low,mid,high,direct_low
2026-05-01,base1-15,42355,Holofoil,151.01,99.7,157.97,1086.2,155.52
2026-05-01,base1-16,42356,Holofoil,54.05,33.86,54.5,139.99,119.99
2026-05-01,base1-2,42360,Holofoil,206.42,150.0,218.34,1585.1,199.97
2026-05-01,base1-4,42382,Holofoil,555.88,499.0,699.99,1499.65,
2026-05-01,base1-58,42402,Normal,6.46,1.25,3.97,9999.0,10.97
2026-05-01,cel25c-4,250320,Holofoil,194.18,176.98,220.47,4321.0,199.74
2026-05-01,gym2-2,83861,1st Edition Holofoil,894.61,1070.99,1605.5,2140.0,
2026-05-01,gym2-2,83861,Unlimited Holofoil,472.97,438.75,538.47,1499.99,536.98
2026-05-01,neo1-9,86903,1st Edition Holofoil,1299.96,1899.99,2425.0,2950.0,1899.99
2026-05-01,neo1-9,86903,Unlimited Holofoil,479.18,461.46,500.0,584.0,
2026-05-01,sl-151-bundle,502000,Normal,202.25,189.95,223.48,2999.99,
2026-05-01,sl-151-etb,503313,Normal,606.52,620.0,699.98,1299.99,
2026-05-01,sl-151-upc,502005,Normal,962.94,970.94,1192.5,40000.0,
2026-05-01,sl-ar-box,265519,Normal,370.28,380.0,475.0,899.99,
2026-05-01,sl-bs-box,256141,Normal,597.06,599.99,700.0,5000.0,
2026-05-01,sl-cel-upc,245140,Normal,1171.81,1241.99,2000.0,200000.0,
2026-05-01,sl-champ-etb,218791,Normal,168.76,169.96,200.0,500.0,
2026-05-01,sl-cz-etb,453470,Normal,295.26,315.0,350.0,785.0,
2026-05-01,sl-dr-box,624679,Normal,593.97,585.0,630.0,2185.0,
2026-05-01,sl-evs-box,242436,Normal,2624.5,2636.51,3482.5,12000.0,
2026-05-01,sl-evs-etb,243721,Normal,835.62,1099.97,1200.0,3499.98,
2026-05-01,sl-fs-box,247654,Normal,992.42,985.0,1103.99,3000.0,
2026-05-01,sl-hf-etb,194729,Normal,532.48,534.98,654.98,9999.98,
2026-05-01,sl-jp-151,565243,Normal,349.08,349.99,429.89,599.99,
2026-05-01,sl-jp-terastal,603428,Normal,127.72,99.99,145.0,250.0,
2026-05-01,sl-jt-box,610931,Normal,286.84,275.0,329.95,558.43,
2026-05-01,sl-lo-box,277324,Normal,727.98,718.01,896.49,2500.0,
2026-05-01,sl-me1-box,644298,Normal,319.32,329.99,367.99,499.99,
2026-05-01,sl-obf-box,501257,Normal,367.44,342.0,399.99,1000.0,
2026-05-01,sl-pe-etb,593355,Normal,177.72,160.0,200.0,2000.0,
2026-05-01,sl-pe-spc,622770,Normal,293.98,299.99,390.0,1500.0,
2026-05-01,sl-pf-etb,528040,Normal,418.22,409.94,467.5,800.0,
2026-05-01,sl-phf-box,654137,Normal,400.92,391.99,450.0,1200.0,
2026-05-01,sl-shf-etb,228821,Normal,130.54,124.91,150.0,500.11,
2026-05-01,sl-ss-box,565606,Normal,265.81,259.16,322.47,4999.99,
2026-05-01,sl-st-box,283389,Normal,455.55,449.99,549.99,1000.0,
2026-05-01,sl-tf-box,536225,Normal,304.11,304.01,334.98,500.0,
2026-05-01,sv2-185,497557,Normal,0.28,0.1,0.31,4321.0,0.13
2026-05-01,sv2-185,497557,Reverse Holofoil,0.73,0.17,0.81,18.78,1.53
2026-05-01,sv2-254,497669,Holofoil,10.11,9.0,12.5,4321.0,12.38
2026-05-01,sv2-269,497689,Holofoil,57.57,52.99,69.99,527.48,67.99
2026-05-01,sv3pt5-151,516566,Holofoil,8.53,5.88,8.71,9999.0,8.47
2026-05-01,sv3pt5-199,517045,Holofoil,429.06,379.36,465.0,900.0,399.0
2026-05-01,sv3pt5-205,517051,Holofoil,29.94,25.23,34.2,4321.0,30.52
2026-05-01,sv3pt5-4,502555,Normal,0.15,0.01,0.21,20.0,0.1
2026-05-01,sv3pt5-4,502555,Reverse Holofoil,0.33,0.15,0.35,19.48,0.31
2026-05-01,sv3pt5-6,502558,Holofoil,8.67,4.98,9.99,9999.0,25.97
2026-05-01,sv3pt5-7,502548,Normal,0.25,0.01,0.25,19.99,0.16
2026-05-01,sv3pt5-7,502548,Reverse Holofoil,0.41,0.04,0.37,50.0,0.36
2026-05-01,sv4pt5-234,535090,Holofoil,320.76,270.0,394.0,1587.15,379.0
2026-05-01,sv4pt5-54,534416,Holofoil,4.46,3.0,4.99,60.0,6.33
2026-05-01,sv8-57,590025,Holofoil,4.46,3.0,4.7,4321.0,6.55
2026-05-01,sv8pt5-149,610504,Holofoil,256.0,198.07,392.0,2000.0,
2026-05-01,sv8pt5-155,610510,Holofoil,279.23,290.0,349.99,999.0,
2026-05-01,sv8pt5-156,610511,Holofoil,397.34,309.96,494.38,999.0,499.9
2026-05-01,sv8pt5-161,610516,Holofoil,1455.69,1350.0,1725.0,5000.0,
2026-05-01,sv8pt5-167,610522,Holofoil,182.25,155.0,220.0,3009.8,201.99
2026-05-01,sv8pt5-179,610534,Holofoil,63.57,57.38,76.12,999.0,
2026-05-01,sv8pt5-28,610383,Holofoil,1.74,1.11,2.05,999.0,
2026-05-01,sv8pt5-47,610402,Normal,0.06,0.01,0.11,999.0,0.01
2026-05-01,sv8pt5-47,610402,Reverse Holofoil,0.13,0.01,0.17,999.0,0.01
2026-05-01,sv8pt5-59,610414,Holofoil,0.34,0.01,0.35,999.0,0.35
2026-05-01,sv8pt5-59,610414,Reverse Holofoil,0.53,0.1,0.49,999.0,0.41
2026-05-01,sv8pt5-60,610415,Holofoil,5.49,4.0,6.49,999.0,6.37
2026-05-01,svp-085,518861,Normal,949.92,945.0,1200.0,6999.93,6999.93
2026-05-01,swsh11-186,284137,Holofoil,672.02,625.0,784.0,899.99,799.97
2026-05-01,swsh12-186,451834,Holofoil,448.62,400.0,529.37,3761.87,476.99
2026-05-01,swsh12pt5gg-GG69,478100,Holofoil,245.37,215.61,258.29,1865.06,272.73
2026-05-01,swsh35-25,223018,Normal,0.18,0.01,0.2,19.99,
2026-05-01,swsh35-25,223018,Reverse Holofoil,0.32,0.1,0.32,19.98,
2026-05-01,swsh35-74,223073,Holofoil,185.34,158.98,240.94,2300.0,209.97
2026-05-01,swsh45sv-SV107,232496,Holofoil,160.25,119.83,200.0,4321.0,199.99
2026-05-01,swsh7-204,246693,Holofoil,32.82,28.99,35.55,289.9,37.74
2026-05-01,swsh7-205,246696,Holofoil,348.73,314.56,399.99,522.9,340.0
2026-05-01,swsh7-208,246755,Holofoil,35.18,35.0,45.7,270.1,45.82
2026-05-01,swsh7-209,246756,Holofoil,273.76,242.01,359.0,499.69,242.01
2026-05-01,swsh7-211,246702,Holofoil,52.68,55.0,63.22,450.0,
2026-05-01,swsh7-212,246704,Holofoil,381.44,397.79,499.83,4249.73,499.69
2026-05-01,swsh7-215,246723,Holofoil,2136.24,2195.0,2632.01,26000.0,2799.0
2026-05-01,swsh7-218,246733,Holofoil,787.94,899.0,1199.67,2067.0,1199.63
2026-05-01,swsh7-41,246753,Holofoil,7.34,5.17,7.95,38.99,14.99
2026-05-01,swsh7-65,246690,Holofoil,16.07,12.08,16.82,512.01,18.9
2026-05-01,swsh7-75,246701,Holofoil,17.6,12.5,19.0,141.86,24.44
2026-05-01,swsh7-8,246691,Holofoil,8.47,5.01,8.82,507.17,8.82
2026-05-01,swsh8-271,253266,Holofoil,901.53,845.69,999.0,1799.0,944.86
2026-05-01,swsh9-154,263873,Holofoil,337.56,346.38,479.52,1500.0,359.99
2026-05-02,base1-15,42355,Holofoil,148.29,109.3,157.97,1086.2,155.52
2026-05-02,base1-16,42356,Holofoil,53.85,34.85,54.0,139.99,
2026-05-02,base1-2,42360,Holofoil,206.15,150.0,216.0,1585.1,199.97
2026-05-02,base1-4,42382,Holofoil,555.88,499.0,651.3,999.0,
2026-05-02,base1-58,42402,Normal,6.48,1.0,3.97,9999.0,9.99
2026-05-02,cel25c-4,250320,Holofoil,193.58,176.98,218.99,499.99,199.73
2026-05-02,gym2-2,83861,1st Edition Holofoil,894.61,2140.0,2140.0,2140.0,
2026-05-02,gym2-2,83861,Unlimited Holofoil,469.77,438.75,533.4,1499.99,533.4
2026-05-02,neo1-9,86903,1st Edition Holofoil,1299.96,1899.99,2425.0,2950.0,1899.99
2026-05-02,neo1-9,86903,Unlimited Holofoil,485.62,461.46,500.0,650.0,
2026-05-02,sl-151-bundle,502000,Normal,213.57,194.0,227.5,2999.99,
2026-05-02,sl-151-etb,503313,Normal,608.84,620.0,699.0,1299.99,
2026-05-02,sl-151-upc,502005,Normal,967.58,970.94,1199.99,40000.0,
2026-05-02,sl-ar-box,265519,Normal,369.48,380.0,475.0,899.99,
2026-05-02,sl-bs-box,256141,Normal,597.06,599.99,699.99,5000.0,
2026-05-02,sl-cel-upc,245140,Normal,1171.81,1241.99,2000.0,200000.0,
2026-05-02,sl-champ-etb,218791,Normal,169.36,169.96,200.0,500.0,
2026-05-02,sl-cz-etb,453470,Normal,294.75,295.26,350.0,1000.0,
2026-05-02,sl-dr-box,624679,Normal,595.28,579.01,625.0,2185.0,
2026-05-02,sl-evs-box,242436,Normal,2624.5,2636.51,3482.5,12000.0,
2026-05-02,sl-evs-etb,243721,Normal,835.62,1099.97,1200.0,3499.98,
2026-05-02,sl-fs-box,247654,Normal,992.42,985.0,1102.0,3000.0,
2026-05-02,sl-hf-etb,194729,Normal,532.48,534.98,654.98,9999.98,
2026-05-02,sl-jp-151,565243,Normal,350.28,374.99,439.78,599.99,
2026-05-02,sl-jp-terastal,603428,Normal,125.68,99.99,145.0,250.0,
2026-05-02,sl-jt-box,610931,Normal,287.97,275.0,339.98,558.43,
2026-05-02,sl-lo-box,277324,Normal,727.98,700.0,886.0,2500.0,
2026-05-02,sl-me1-box,644298,Normal,320.04,329.99,360.97,499.99,
2026-05-02,sl-obf-box,501257,Normal,366.63,366.0,400.0,1000.0,
2026-05-02,sl-pe-etb,593355,Normal,171.37,165.0,200.0,2000.0,
2026-05-02,sl-pe-spc,622770,Normal,306.53,313.34,399.97,1500.0,
2026-05-02,sl-pf-etb,528040,Normal,418.22,409.94,457.5,800.0,
2026-05-02,sl-phf-box,654137,Normal,397.48,400.0,475.0,1200.0,
2026-05-02,sl-shf-etb,228821,Normal,131.45,130.0,150.0,500.11,
2026-05-02,sl-ss-box,565606,Normal,251.29,259.16,320.0,4999.99,
2026-05-02,sl-st-box,283389,Normal,456.39,449.99,549.99,1000.0,
2026-05-02,sl-tf-box,536225,Normal,305.15,304.01,336.25,500.0,
2026-05-02,sv2-185,497557,Normal,0.27,0.09,0.31,501.5,0.13
2026-05-02,sv2-185,497557,Reverse Holofoil,0.71,0.17,0.8,18.78,1.53
2026-05-02,sv2-254,497669,Holofoil,10.14,9.0,12.26,4321.0,12.37
2026-05-02,sv2-269,497689,Holofoil,57.81,52.99,69.99,527.48,67.99
2026-05-02,sv3pt5-151,516566,Holofoil,7.64,5.0,8.57,9999.0,8.53
2026-05-02,sv3pt5-199,517045,Holofoil,425.47,379.36,463.27,900.0,401.51
2026-05-02,sv3pt5-205,517051,Holofoil,30.26,17.23,34.01,150.2,29.75
2026-05-02,sv3pt5-4,502555,Normal,0.17,0.01,0.2,20.0,0.12
2026-05-02,sv3pt5-4,502555,Reverse Holofoil,0.36,0.15,0.36,19.48,0.31
2026-05-02,sv3pt5-6,502558,Holofoil,9.2,4.98,10.1,9999.0,10.99
2026-05-02,sv3pt5-7,502548,Normal,0.24,0.01,0.25,19.99,
2026-05-02,sv3pt5-7,502548,Reverse Holofoil,0.35,0.04,0.36,1000.39,0.41
2026-05-02,sv4pt5-234,535090,Holofoil,325.78,270.0,407.5,1623.65,379.0
2026-05-02,sv4pt5-54,534416,Holofoil,4.32,3.35,5.0,4321.0,6.68
2026-05-02,sv8-57,590025,Holofoil,4.45,2.97,4.61,25.0,5.22
2026-05-02,sv8pt5-149,610504,Holofoil,256.0,270.0,409.23,2000.0,
2026-05-02,sv8pt5-155,610510,Holofoil,279.23,290.0,349.99,999.0,
2026-05-02,sv8pt5-156,610511,Holofoil,397.34,309.96,494.38,999.0,499.9
2026-05-02,sv8pt5-161,610516,Holofoil,1455.69,1350.0,1650.0,5000.0,1799.99
2026-05-02,sv8pt5-167,610522,Holofoil,182.24,155.0,219.99,3009.8,202.0
2026-05-02,sv8pt5-179,610534,Holofoil,63.76,57.5,76.4,999.0,
2026-05-02,sv8pt5-28,610383,Holofoil,1.86,1.0,2.04,999.0,
2026-05-02,sv8pt5-47,610402,Normal,0.06,0.01,0.11,999.0,0.01
2026-05-02,sv8pt5-47,610402,Reverse Holofoil,0.15,0.01,0.18,999.0,0.01
2026-05-02,sv8pt5-59,610414,Holofoil,0.32,0.01,0.35,999.0,0.4
2026-05-02,sv8pt5-59,610414,Reverse Holofoil,0.54,0.1,0.5,999.0,0.41
2026-05-02,sv8pt5-60,610415,Holofoil,5.84,4.0,6.5,4321.0,
2026-05-02,svp-085,518861,Normal,955.74,945.0,1123.0,6999.93,6999.93
2026-05-02,swsh11-186,284137,Holofoil,723.63,625.0,723.37,899.99,899.69
2026-05-02,swsh12-186,451834,Holofoil,448.62,400.0,529.37,3761.65,476.99
2026-05-02,swsh12pt5gg-GG69,478100,Holofoil,245.87,215.61,257.81,1865.06,245.87
2026-05-02,swsh35-25,223018,Normal,0.18,0.01,0.2,19.99,
2026-05-02,swsh35-25,223018,Reverse Holofoil,0.31,0.1,0.32,19.98,
2026-05-02,swsh35-74,223073,Holofoil,185.34,160.0,235.47,2300.0,209.97
2026-05-02,swsh45sv-SV107,232496,Holofoil,160.25,140.0,199.99,349.95,199.98
2026-05-02,swsh7-204,246693,Holofoil,33.04,28.99,34.75,289.9,48.99
2026-05-02,swsh7-205,246696,Holofoil,348.73,314.56,399.99,522.9,340.0
2026-05-02,swsh7-208,246755,Holofoil,35.44,35.0,45.7,270.1,45.81
2026-05-02,swsh7-209,246756,Holofoil,273.76,279.72,369.0,499.69,287.99
2026-05-02,swsh7-211,246702,Holofoil,52.68,47.5,61.45,450.0,
