date,asset_id,product_id,subtype,market,low,mid,high,direct_low
2026-02-01,base1-15,42355,Holofoil,132.65,97.97,139.28,999.98,
2026-02-01,base1-16,42356,Holofoil,49.4,24.92,41.76,120.0,
2026-02-01,base1-2,42360,Holofoil,164.09,109.0,149.99,499.99,
2026-02-01,base1-4,42382,Holofoil,462.35,354.94,659.99,1500.0,
2026-02-01,base1-58,42402,Normal,3.78,0.85,2.5,9999.0,
2026-02-01,cel25c-4,250320,Holofoil,158.37,159.77,198.91,499.99,158.37
2026-02-01,gym2-2,83861,1st Edition Holofoil,852.01,640.0,694.98,975.99,
2026-02-01,gym2-2,83861,Unlimited Holofoil,484.11,491.29,557.82,638.68,549.63
2026-02-01,neo1-9,86903,1st Edition Holofoil,1799.99,1798.75,1899.98,2700.0,1899.99
2026-02-01,neo1-9,86903,Unlimited Holofoil,440.97,349.0,394.99,815.0,
2026-02-01,sl-151-bundle,502000,Normal,117.75,107.05,129.99,999.99,
2026-02-01,sl-151-etb,503313,Normal,426.34,424.0,500.0,1000.0,
2026-02-01,sl-151-upc,502005,Normal,593.53,644.99,799.97,40000.0,
2026-02-01,sl-ar-box,265519,Normal,387.63,384.99,450.0,899.99,
2026-02-01,sl-bs-box,256141,Normal,576.14,530.0,650.0,1499.99,
2026-02-01,sl-cel-upc,245140,Normal,881.87,960.0,1200.0,154722.59,
2026-02-01,sl-champ-etb,218791,Normal,163.82,165.0,179.95,500.0,
2026-02-01,sl-cz-etb,453470,Normal,242.26,240.01,299.98,785.0,
2026-02-01,sl-dr-box,624679,Normal,529.58,549.99,654.99,6666.69,
2026-02-01,sl-evs-box,242436,Normal,2460.27,2633.99,3392.49,12000.0,
2026-02-01,sl-evs-etb,243721,Normal,747.2,849.0,999.98,2999.99,
2026-02-01,sl-fs-box,247654,Normal,966.07,990.99,1200.0,3200.0,
2026-02-01,sl-hf-etb,194729,Normal,426.44,440.0,525.0,9999.98,
2026-02-01,sl-jp-151,565243,Normal,212.83,213.01,239.2,489.59,
2026-02-01,sl-jp-terastal,603428,Normal,118.0,99.99,129.99,200.0,
2026-02-01,sl-jt-box,610931,Normal,245.59,249.99,276.47,551.0,
2026-02-01,sl-lo-box,277324,Normal,707.87,710.0,989.87,2500.0,
2026-02-01,sl-me1-box,644298,Normal,249.89,236.72,299.45,500.0,
2026-02-01,sl-obf-box,501257,Normal,297.9,305.0,360.0,799.99,
2026-02-01,sl-pe-etb,593355,Normal,138.36,129.95,157.2,1115.0,
2026-02-01,sl-pe-spc,622770,Normal,246.24,238.0,322.99,880.0,
2026-02-01,sl-pf-etb,528040,Normal,296.06,289.99,319.99,775.0,
2026-02-01,sl-phf-box,654137,Normal,282.81,275.0,300.0,1000.0,
2026-02-01,sl-shf-etb,228821,Normal,109.06,103.0,125.0,500.11,
2026-02-01,sl-ss-box,565606,Normal,255.27,259.99,330.0,4999.99,
2026-02-01,sl-st-box,283389,Normal,462.38,470.0,560.0,9999.99,
2026-02-01,sl-tf-box,536225,Normal,270.75,257.5,299.99,779.99,
2026-02-01,sv2-185,497557,Normal,0.31,0.05,0.39,501.5,
2026-02-01,sv2-185,497557,Reverse Holofoil,0.6,0.24,0.75,6.99,
2026-02-01,sv2-254,497669,Holofoil,13.68,11.0,14.81,52.5,
2026-02-01,sv2-269,497689,Holofoil,48.36,43.99,55.41,259.99,
2026-02-01,sv3pt5-151,516566,Holofoil,5.49,3.99,7.5,100.0,
2026-02-01,sv3pt5-199,517045,Holofoil,259.09,214.49,298.25,1000.0,270.24
2026-02-01,sv3pt5-205,517051,Holofoil,17.57,14.99,20.0,88.88,
2026-02-01,sv3pt5-4,502555,Normal,0.13,0.01,0.16,20.0,
2026-02-01,sv3pt5-4,502555,Reverse Holofoil,0.31,0.07,0.3,3.99,
2026-02-01,sv3pt5-6,502558,Holofoil,5.14,2.98,5.99,505.1,
